Length (m),Beam (m),Draft (m),Heading,a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.3,0.1,-0.033333333,-180,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.3,0.1,-0.066666667,-180,0.249407893,0.349171819,1.092350124,0.962147039,0.250011412,6.79E-05,0.000260526,0.840356601,0.225196082,0.598458561,0.720551003,0.565652155,0.344397865,0.221975563,0.428046051,0.981743005,0.267687854,183.7539637,-105.3716737,0.33553869,0.205660946,0.029416443,0.148326072,0.973749444
0.3,0.1,-0.1,-180,0.232928476,0.272831373,1.139373858,0.924575169,0.415939164,0.001948627,-1.25E-05,0.558882473,0.231506019,0.500399142,0.828999282,0.866795653,0.42352331,8.420004837,0.70527623,0.556180716,0.19400363,567.6756678,-574.2540239,0.097875266,0.20703963,0.031116443,0.153538705,0.906106533
0.3,0.1,-0.133333333,-180,0.244066415,0.317691836,1.107433996,0.975791237,0.281657425,5.95E-05,0.000501873,0.945465262,0.248687072,0.633880786,0.753211045,0.696009033,0.454130015,0.720022351,1.45335372,0.996880094,0.28358486,155.7449386,-80.81272644,0.408209443,0.233089836,0.037510265,0.142275332,0.962537471
0.3,0.1,-0.166666667,-180,0.260458833,0.341675882,1.109772613,0.978940699,0.250283458,5.42E-05,0.000196817,0.796130185,0.270230003,0.758870644,0.710382695,0.636464163,0.479710406,0.543506017,0.961429547,0.991975957,0.362992338,120.8959974,-43.26206041,0.478209781,0.251705562,0.039879335,0.138820956,0.970993566
0.3,0.15,-0.022222222,-180,0.273125871,0.353777027,1.115338328,0.981115674,0.310753821,-3.50E-09,0.000424403,0.775700348,0.278577613,0.902658014,0.630624999,0.459415676,0.57932102,0.870081883,1.461141902,0.997860598,0.361563303,135.7117064,-50.15928456,0.540441571,0.263578963,0.040589329,0.137161922,0.976795271
0.3,0.15,-0.044444444,-180,0.284038374,0.347318452,1.13040763,0.98522055,0.260900844,3.75E-05,0.000103865,0.461628633,0.314080077,0.961432372,0.682608687,0.591766786,0.791984638,10.74840173,1.922375425,0.849964642,0.324720699,492.2640493,-245.1007685,0.197744459,0.27372133,0.039275524,0.137244025,0.981869196
0.3,0.15,-0.066666667,-180,0.252549017,0.331495757,1.119484524,0.978693457,0.624742521,0.007152988,0.00032314,0.607221862,0.261005377,0.542873339,0.853038608,0.908387704,0.630811707,27.79599571,1.582355349,0.60087843,0.192532213,213.5847115,-198.1557616,0.292146571,0.200940597,0.024614012,0.125567951,0.91118586
0.3,0.15,-0.088888889,-180,0.275830081,0.361875108,1.121754901,0.980294636,0.38013934,0.000210146,0.000194477,0.893233765,0.270767101,0.660736901,0.782337432,0.739379238,0.467941849,0.661148286,1.201164635,0.996344133,0.242172807,190.2660464,-130.2119524,0.35430945,0.047830536,-0.00506422,0.106045964,0.972467618
0.3,0.15,-0.111111111,-180,0.293577888,0.387580506,1.123008641,0.980540332,0.213668633,7.28E-09,0.000348692,0.837299061,0.28180143,0.814490479,0.69874268,0.539563088,0.506895911,0.600787357,1.024308813,0.99322227,0.276468715,225.2252382,-134.2823313,0.247775046,0.258891588,0.02449619,0.087010757,0.980382057
0.3,0.2,-0.033333333,-180,0.310137,0.410264296,1.12626705,0.982074744,0.470950373,1.18E-08,0.000517122,0.912074747,0.314388985,0.891895977,0.724252141,0.66784074,0.801355527,2.486144307,4.026857959,0.998298195,0.290331568,169.4553996,-90.23941316,0.414578452,0.26409833,0.020847018,0.086689159,0.984222026
0.3,0.2,-0.066666667,-180,0.329669769,0.436649103,1.131525681,0.981767829,0.404295711,0.000440054,-0.00012466,0.378977032,0.305822624,1.268593568,0.479319689,0.313171214,0.443436157,4.431611748,-0.533836453,0.299440978,0.27756531,195.0089968,-111.6118339,0.345982503,0.275452862,0.020200578,0.084925112,0.984341963
0.3,0.2,-0.1,-180,0.265004284,0.365250174,1.10021731,0.970796091,0.365501927,0.000174093,7.22E-06,0.69058437,0.237375633,0.78276951,0.594830719,0.367757816,0.374564362,0.203487726,0.373426489,0.981636458,0.349631775,133.117313,-51.33644279,0.442155296,0.228950999,0.032559658,0.136238138,0.984253737
0.3,0.2,-0.133333333,-180,0.254652886,0.337727879,1.118007572,0.952779458,0.256081188,0.000116237,-2.80E-05,0.37071386,0.260246623,0.526405561,0.863975258,0.931977634,0.242349269,0.942296035,0.038799757,0.326839889,0.183718454,206.3885907,-202.2159755,0.244143729,0.230853447,0.026105977,0.099991944,0.962162966
0.3,0.2,-0.166666667,-180,0.26559716,0.34133768,1.123384732,0.983046371,0.439604622,0.002864698,-0.000309394,0.262268701,0.272637402,0.624747401,0.811361049,0.820526305,0.447979263,13.89440754,-2.556865726,0.264799801,0.22877621,292.036547,-230.7398593,0.179233828,0.059450789,-0.00489981,0.107199646,0.952837922
0.4,0.2,-0.0375,-180,0.281458623,0.362553803,1.125082619,0.983743508,1.619203252,0.022122565,-0.000212821,0.992491422,0.28635425,0.727768203,0.766340279,0.725836889,1.635440065,106.6067851,-3.109717076,0.998137607,0.268592948,253.8398705,-160.1289454,0.226793906,0.258329768,0.024311544,0.097058017,0.971230467
0.4,0.2,-0.075,-180,0.295680137,0.384808602,1.124976637,0.983629566,1.057313294,0.003458163,0.000209925,0.963270152,0.294610919,0.829442075,0.716983973,0.601450833,1.095457946,23.3027426,2.167038712,0.993545006,0.285201339,191.9290616,-108.5342178,0.299338544,0.265959649,0.022267981,0.079642375,0.969871135
0.4,0.2,-0.1125,-180,0.309489727,0.405623828,1.126825667,0.984004034,0.376182031,9.82E-05,8.90E-05,0.665242485,0.321265997,0.910424358,0.724892075,0.662468648,0.545399888,3.001697103,0.652267472,0.785309877,0.292402491,169.1039842,-90.06825447,0.399907717,0.25910659,0.019082892,0.084048902,0.939604812
